word,translation
"wandere","am hiking, go hiking, hike"
"Sonnencreme","sunscreen, suntan lotion, sun cream"
"wandert","hike, hikes, hiking"
Sommer,summer
warm,warm
Onkel,uncle
"Freund","boyfriend, partner"
"einen","an, a, one"
"habe","am, have been, did"
"hast","have, are, were"
"hat","has, was, is"
"meinen","mean, mine, to my"
"deinen","your, to your, for your"
"Opa","grandpa, grandfather, granddad"
"liebt","loves, love"
"Tante","aunt, auntie, aunty"
"Oma","grandma, grandmother, nan"
"keine","any, n't, no"
"Mitbewohner","roommate, roomie, flatmate"
"Partner","partner, partners, partner's"
"keinen","any, not any, no"
Partnerin,partner
"Mitbewohnerin","roommate, roommate's"
Fisch,fish
liebst,love
liebe,love
"heißt","is, name is, is called"
"Schnecke","snail, slug"
"kommt","is, is coming, comes"
